id,eng,afr,xho,ssw,nbl,tsn,nso,ven,tso,sot,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info
dsac_multilingual_engineering_and_construction_terminology_264,parapet,borswering / borsweringmuur,ungqameko oluphezu kophahla,umngcengcemasakhiwo / ipharaphethi,ipharaphethi,potathulelong / ranta,lebotopheko / pharaphete,luvondo lwa pharaphethe,pharaphete,,,wall,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_265,partition,afskorting,isahluli / ipatishini,lubondzasehlukanisi / lubondza lwangekhatsi,iphathitjhini,lokgaoganyi,lebotokgaogantšhi / phathišene,luvondophandekanyi,khumbixavi,,,wall,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_266,party wall,gemeenskaplike muur,udonga olusisahlukanisizindlu,sehlukanisitakhiwo / umtsangala wekwehlukanisa,umthangalasihlukanisi / ibodasihlukanisi,lobotagora,lebotokgaoganyameago,luvondo kanukanya,khumbindzilikano,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_267,petroleum engineering,petroleum-ingenieurswese,ubunjineli bezepetroliyam,bunjiniyela betemafutsa,ubunjiniyere bezeembaseli,boejenere jwa ditukisi,boentšenerphetheroliamo,vhuinzhiniara ha zwa zwivhaswa,vunjhiniyara bya swa mafurhaswicelwa,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_268,pier,pyler,intsika yebhulorho / isisekelibhulorho,insika yelibhuloho,isika yebhlorho / isisekelibhlorho,pilararogo / serwalarogo,philaraporogo / philara,ṱhokha / thikho ya buroho,phuphu,,,e.g. support for a bridge,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_269,pilaster,muurpilaar / pilaster,intsika yokuhombisa,insika yephilasta / iphilasta,isika mhlobiso / iphilasta,sepilara / pilasta,philarakgomarediboto / philasetara,phuphu,xikepisanakhumbi,,,column,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_270,pile,heipyler / heipaal,isibonda esingumsekelo / iphayili,umsukasisekeli / insikasesekeli,iphayili,mosetlelo / pilaratheo,phaele,ṱhokha,mhinguphuphu / milenge ya muako,,,foundation,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_271,pile driver,hei,umatshini wokumilisela izibonda / umatshini wokumilisela iphayili,umshini wekumisa tinsika / sigcumekitinsika,isisunduzelimaphayili,seroratshetledi,motšhenephaele,tshindondomedzaṱhokha / tshindondomedzaphuphu,xibelelamhinguphuphu,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_272,pillar,pilaar / suil,intsika,insikamatje,isika / ipilara,matshetlego / pilara,philara,phuphu,phuphu / philara,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_273,pilot hole,groefgat / voorlopergat,umngxuma ohlahlelayo,umgojana wesipikili / sikhadlana sesipikili,intunja yesipikiri,mosimakaedi / mosimatlhala,lešobakurufu / lešobapikiri,bulithangeli,mbhovondzetelo,,,,,,,,,,,,,,,,,,,,,
