id,eng,afr,zul,xho,ssw,nbl,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info
dsac_natural_science_and_technology_term_list_nguni_languages_524,cross beam,dwarsbalk,umgoqo,umqobo onqamlezileyo / umqadi onqamlezileyo,libhaluko,umsebe ovundlako,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_525,cross-section,dwarsdeursnit,umgamanxo,ucando ngokunqamlezileyo / ukusika ngokunqamlezileyo,incenyebhukula,ingcenye evundlako,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_526,crow,kraai,-kikiliga,khonya / khala,kikiliga,lila njengomqude,verb,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_527,crown,kroon,umqhele,umphezulu,umchele,isihlohlo,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_528,crude oil,ru-olie,uwoyela ongahluziwe,ioyile ekrwada,oyela longakahlutwa,i-oli ehlaza,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_529,cruising speed,togsnheid,ijubane elisezingeni,isantya esithuthuzelayo / isantya esimnandi,litubane lelemukelekile,ibelo lokuzigedla,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_530,crush,vergruis,-gaya / -gqula / -qotha,graya / cumza,gandza / sitila / fohlota,pitliza / fihliza,verb,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_531,crushed grain,gebreekte graan,impuphu,umgrayo,luhlavu lolusiliwe,ithoro esiliweko,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_532,crushed mealies,mieliegruis,impuphu yommbila,umgrayo,liheleyisi,isiphila esisiliweko,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_533,crust,kors,uqweqwe / iqeqeba / ikhekheba,isikhoko / uqweqwe,likhekheba,isikhokho,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_534,crustacean,skaaldier,okusankalankala,isilwanyana esineqokobhe,sikhumbalucwecwe,ikala,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_535,crystal.,kristal,iqhuzwana / inhlayiya,uhlalutye,ikhristali / inhlayinhlayi,itsetserana,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_536,crystalline,kristalagtig,okusakhuzwana,elihlalutye,-sanhlayinhlayi / -sakhristali,-satsetserana / -neentsetserana,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_537,crystallisation,kristallisering,ukwenzasatshe,untlalutyiso / ukwakheka kweentlalutye,kwakheka kwetinhlayinhlayi,ukwakheka kweentsetserana,,rock,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_538,cud,herkousel / herkoutjie,umetshiso / umhlwabuso,umetyiso,umhlwabulo,umtjiso / isetjiso,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_539,cultivate,bewerks,-lima / -tshala,lima,lima,lima,verb,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_540,cultivated land,bewerkte grond / verboude grond,insimu,umhlaba olinyiweyo,insimu lelinyiwe,isimu,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_541,cultivation,bewerking,ukulima,ukulima,kulima,ukulima,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_542,cupboard,kas,ikhabethe,ikhabhathi,likhabethe,ikhabhodi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_543,current,stroom,umsinga,umsinga,umsinga,itlelezo / iphephetho,,e.g. water and air,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_544,current / electric current,stroom / elektriese stroom,ukuhamba kwagesi,umsinga wombane,umsinga wagezi,itlelezomlilo,,electricity,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_545,curve,draai,ijika / igobela / igwinci,igophe / idolo / idrayi,lijika,izombe / ijika,noun,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_546,curved beak,krom bek,unoqhwaku ogobile,umlomo wentaka ogoso,umlomo wenyoni logobekile,umlomenyoni onejika,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_547,cushioned paw,gekussingde poot,isidladla esintofontofo,ithupha / uthupha,sidladlantofontofo,idlawu,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_548,cutlery,eetgerei,izikhali zokudla / izinkezo,izixhobo zokutya,tinsitakudla,izinto zokudla,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_549,cutter,snyer,umsiki / isisiki,umsiki / into yokusika,umjubi / kwekusika / umsiki / kwekujuba,isisiki,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_550,cutting / slip,steggie,ihlumela / inqumela sitshalo,uswazi,sitokwana,ihlumela,,plants,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_551,cycle,siklus,umjikelezo / umzungezo / isikokela,umjikelo,umjikeleto,isehlakalomzombe,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_552,cylinder,silinder,isilinda / umbhonxo,isilinda,isilinda,isilinda,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_553,cylindrical,silindries,okusambhonxo / okusasilinda,eyisilinda,-sasilinda,-sasilinda,adjective,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_554,cylindrical magnet,silindriese magneet,uzibuthe owumbhonxolozi,umazibuthe oyisilinda / uzibuthe oyisilinda,tibutse losasilinda,uzibuthe osasilinda,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_555,dam,damwal,idamu,idama,lidamu,idamu,noun,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_556,dam,opdam,-akha idamu,ukwakha idama,dama,vimba amanzi / khandela amanzi,verb,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_557,damage,verniel / beskadig,limaza / onakalisa,ukonakalisa,bhidlita / limata / ona,ona,verb,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_558,damp,klam,okuswakeme,efumileyo,-butsile / -swakeme,-swe,adjective,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_559,damp ground,klam grond,umhlabathi omanzana / umhlabathi oswakeme,umhlaba ofumileyo,umncitsi,indawo eswe,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_560,dam up,opdam,ukwakha idamu,ukwakha idama,kudama,khandela amanzi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_561,dark,donker,mnyama,mnyama,-ntima / -mnyama,-fipheleko,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_562,dassie / hyrax,das / dassie,imbila,imbila,imbila,imbila,,term used in the RSA / animal,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_563,data,data,umininingo,ulwazi oluqokelelweyo / iinkcukacha / uvimba wolwazi,idatha,okunikelweko / idatha,,information technology - computers,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_564,dead leaf,dooie blaar,iqabunga elomile,igqabi elomileyo,licembe lelomile,ikari elomileko,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_565,deadly germ,dodelike kiem,igciwane elibulalayo / igciwane elinobuthi,intsholongwane enobungozi,ligciwane lelibulalako,umvunya obulalako,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_566,death,dood,ukufa,ukufa,kufa,ukufa,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_567,deca,deka,ngashumi,ngezishumi,incenye eshumini,idekhade,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_568,decade,dekade,ishuminyaka,ishumi leminyaka,umnyakashumi,isumiminyaka / itjhumiminyaka,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_569,decant,dekanteer / afgiet,-cwenga,ukucwenga,cenga,hlelemba,verb,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_570,decantation,dekantering / afgieting,ukucwenga,ukucwenga,kucenga,ihlelembo,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_571,decay / rot,verrot,-bola,ukubola,bola,bola / onakala,verb,,,,,,,,,,,
