id,eng,afr,zul,xho,ssw,nbl,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info
dsac_natural_science_and_technology_term_list_nguni_languages_1660,pad,kussing,ingaphansi lesidladla / intende yonyawo,impuphu,sibutjabutja sesidladla / intofontofo yesidladla,intende yedlawu,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1661,paint,verf,upende,ipeyinti,pende,ipende,noun,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1662,paint brush,verfkwas,ibhulashi lokupenda,ibhrashi yokupeyinta,libhulashi lekupenda,ibhratjhi yepende,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1663,palm tree,palmboom,isundu,isundu,lisundvu,umuthi wamasundu / umuthi wephamu,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1664,panda,panda,ibhele laseShayina / iphanda,isilwanyana esibubhere,iphanda,ipanda,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1665,panel,paneel,ingxenye exhunywayo / ipheneli,icandelo ledonga,iphanela,iphaneli,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1666,panelled,met panele,ingxenye exhunyiwe,elinecandelo ledonga,phaneliwe,-nephaneli,adjective,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1667,panel pin,paneelspyker,isipikili esingenakhanda / isipikili sephaneli,isikhonkwane esincinci,liphini lebuphanela,isipikirana,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1668,paper,papier,iphepha,iphepha,liphepha,iphepha / imbaphiri,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1669,paperweight,papiergewig,isibambaphepha,isicinezeli-maphepha,sicindzetelaphepha,isiphathimaphepha,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1670,parachute,valskerm,ipharashuthi,isambreli sokuhla / ipharashuthi,ipharashuthi,ipharatjhudi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1671,paraffin,paraffien,upharafini,iparafini,phalafini,ipharafini / ilampoli,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1672,paraffin stove,paraffienstofie,isitofu sikapharafini,isitovu separafini,sitofu saphalafini,isitofu sepharafini,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1673,parallax,parallaks,inguqukosimo / ipharaleksi,utshintsho-mbonakalo ngokombukeli,liphutsakubuka / ipharalaksi,ipharaleksi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1674,parallel,parallel / ewewydig,imigqa elinganisene / imigqa ehambelanayo,imigca enxuseneyo,bukene / linganisene,-linganiseneko,,e.g. lines,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1675,parallel,in parallel / parallel verbind,-hambelana,iindlela zombane ezinxuseneyo,bukene / -linganisene,ipharaleli,,electricity,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1676,parallel slits,parallelle gleuwe,-qhelelene ngokulinganayo,imisiko enxuseneyo,imikhatsi lelinganisene,amapharha alinganiseneko,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1677,parallel veins,parallelle are / ewewydige are,imithambo elinganisene,imithambo enxuseneyo,umtsambocembe lolinganisene,umthambo olinganiseneko,,leaves,,,,icembe,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1678,parasite,parasiet,okuphila ngokumunca okunye,isidleleleli,siphilangalokunye,ipharasayithi / isiphilangokhunye,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1679,parent,ouer,umzali,umzali,umtali,umzali / umbelethi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1680,parental,ouerlik,nobuzali,enobuzali,-kwebutali,-kobubelethi,adjective,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1681,parental care,ouersorg,ukunakekela komzali / ubuzali,ubuzali,kunakekela kwebutali,itjhejo lababelethi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1682,parent plant,moederplant,umsukasitshalo,isityalo esingunozala,umsukasitfombo / sivetambewu,isitjalondabuko,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1683,particle,deeltjie,inhlayiya,isuntswana,imvitsi / imvutfu,icezwana / itsherwana / ihlavana,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1684,paste,gom,isinamathelisi,intlama,sinamatselisi,isinamathelisi / isinamathiseli / ikghomu,noun,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1685,paste,plak,-namathisela / -namathelisa,ukuncamathelisa,namatselisa / namatsisela,namathelisa / namathisela,verb,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1686,pattern,patroon,umsiko / isifanekiso / iphethini,umfuziselo / ipateni / ipatroni,umsiko / iphethini,iphetheni,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1687,patterned,bont,-sikiwe / -fanekisiwe,iimpawu zokuqaqambisa,hlotjisiwe,-mapharaphara,adjective,e.g. animal skin,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1688,paw,poot,isidladla,ithupha,sidladla,idlawu,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1689,peach,perske,ipentshisi,ipesika,umpentjisi / limpentjisi / lipentjisi,iperegisi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1690,peach blossom,perskebloeisel,imbali yepentshisi,umdubulo wepesika,imbali yelipentjisi / imbali yempentjisi,ithuthumbo leperegisi / ibhlomu leperegisi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1691,peach tree,perskeboom,umpentshisi,umthi wepesika,umpentjisi / lipentjisi,umuthi weperegisi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1692,peanut,grondboon,intongomane / ikinati,indongomane / intongomane,lintongomane,intongomani,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1693,pear,peer,igonandoda / ipheya,ipere,lipheya / lipiyera,ipiyere,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1694,peck,pik,-ngcofa / -ngqofoza,ukunqola,cocodza / kobola / koboya,gobola,verb,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1695,pedestal grinder,voetstukslyper,isigudli esisekelwe,isisiki-ntsimbi sonyawo,umgandvostibili,igrayindara yeenyawo,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1696,peel,skil,ikhasi,ixolo,sikhumba / licembe,ikelo / ikhasi,noun,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1697,peel,skil,-cwecwa / -hluba,ukuxobula,cata,kela / hluba,verb,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1698,pelican,pelikaan,unoxhongo / ifuba / ivuba,ingcwangube,livuba / iphelikheni,ivuba / iphelikheni,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1699,pelt,pels,isikhumba / uboya,ufele / isikhumba,boya / sikhumba,isikhumbaboyana,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1700,pen,kamp,uhlaka / isivaleli,ubuhlanti,lihhoko,isibayana,,animals,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1701,pendulum,slinger / pendulum,isigaxa / iphendulamu,ujingi,iphendulamu,isijinki / iphendulamu,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1702,penguin,pikkewyn,ihlengethwa / iphengwini,unombombiya,iphengwini,iphengwini,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1703,perch,gaan sit,-hlala cababa,ukuchopha,hlala,hlala / kutjama,verb,birds,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1704,permanent,permanent,-minjalo / -ngenakushintsha,isigxina,hlalekhona / -ngagucuki / nomphela,-nomphela / -safuthi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1705,perspex,perspex,ishidi lepulastiki,iglasi yeplastikhi,iphespheksi,iphespeksi,trademark,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1706,perspiration,sweet,umjuluko / izithukuthuku,umbilo,umjuluko / umfomo,ingurumela / umfomo / umjuluko,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1707,perspire,sweet,-juluka,ukubila,juluka / foma,foma / juluka,verb,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1708,pest,pes,isilokazana esikhathazayo,isonakalisi / ubhubhane,silokatane,inunwana,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1709,pesticide,pesdoder,isibulalazinambuzana,isibulali / isibulali-sonakalisi,sibulalitilokatana,isibulaliinunwana,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1710,pestilence,pestilensie,ubhubhane lwesifo,ubhubhane / isibulalazwe / isifo esibulalayo,bhubhane,umabhubhisa,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1711,pet,troeteldier,isilwane sasekhaya,isilo-qabane,sifuywa,ifuyosithandwa,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1712,petal,kroonblaar,icembe lembali,igqabi lomdubulo wentyatyambo,lidlebe lembali,iphethali,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1713,petiole,blaarstingel,ingono yeqabunga,isikhondo segqabi,iphetiyoli,iphethiyoli / igaba,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1714,petrol,petrol / brandstof,uphethiloli,amafutha enqwelo / ipetroli,iphethilomu / igazoli,amafutha / ipetroli,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1715,petrol pump,petrolpomp,isifutho sikaphethiloli / iphampu kaphethiloli,impompo yamafutha enqwelo / impompo yepetroli,impompi yaphethilomu / impompi yegazoli,ipompo yepetroli,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1716,pharmacist,apteek,ikhemisi,umzi wamachiza / ikhemesti,likhemisi,ikhemisi / intumba,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1717,phenol formaldehyde resin,fenolformaldehied,ucwazi oluqinile / ucwazi ifomolidihayidi ifenoli,iplastiki eqwathaqwatha engatshiyo,sivimbelikushisa,ifomalidihayidi yefenoli,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1718,phosphate,fosfaat,ifosifethi,uhlobo lwetyiwa / ityiwa eyifosfeyithi,ifosifethi,ifosifeyithi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1719,phosphorus,fosfor,ifosiforasi,ifosforasi,inshisamoya / ifosiferasi,ifosiforasi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1720,photograph,foto,isithombe / umfanekiso,umfanekiso,sitfombe / umfoto,isithombe,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1721,photosynthesis,fotosintese,ukwakhiwa kokudla kwesihlahla,ukwenziwa kokutya zizityalo ngelanga,ifothosintesisi,ifothosinthesisi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1722,physical,fisiek,ngokomzimba / ngokwesidumbu,ngokomzimba,-kwenyama / kwemtimba,komzimba / -phathelene nomzimba,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1723,physical,fisies,ngokomzimba / ngokwesidumbu,inzululwazi ngemvelo,simomvelo,-phathelene nefiziksi,,physics,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1724,physical development,fisieke ontwikkeling,ukukhula ngomzimba,ukukhula ngokomzimba,kukhula kweticuku temtimba,ukukhula komzimba,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1725,physical science,natuurkunde / fisika,isayensi yokungaphili,inzululwazi ngezinto ezingaphiliyo,isayensi yefiziksi,isayensi yokungaphiliko,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1726,physics,fisika,isifundo sokungaphili,inzululwazi ngemvelo / ifiziksi,ifiziksi,ifiziksi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1727,picture,prent,isithombe,umfanekiso,umfanekiso,isithombe / umfanekiso,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1728,pie chart,sektorkaart,inkombasilinganiso / ishadi elinguphayi,itshati ebupayi,iphayishadi,iphayitjhadi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1729,pig / swine,vark,ingulube / ukotshi,imazi yehagu,mjemuka / ihhontji / ingulube / sigayoyo,ifarigi / ihotji,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1730,pigeon,posduif,ijuba / ivukuthu,ihobe,lijubantsendzele / livukutfu,izuba,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1731,pigment,pigment,isakhambala / isivezambala,isiniki mbala,sinikambala,umbala,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1732,pilchard,sardyn,inhlanzi,intlanzi enokunkonkxwa,iphilshadi,iphilitjhadi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1733,pilot,loods,umshayeli wendiza / iphayilothi,umqhubi wenqwelomoya / umqhubi-nqwelomoya,umshayelindiza,umtjhayeli wesiphaphamtjhini,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1734,pin,speld,uphini / umakhanjana / isipeletu / iqhobosho,unotaka,liphini / ngusathane,usathane / ihlomejo,noun,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1735,pin,speld,-qhana / -shayela / -fasa,ukuqhobosha,phina / fasa,hlomeja / hlanganisa ngosathane,verb,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1736,pine,den,ishoba / unwele,ipayini,mayaka / umphayini,umuthamaphehlo,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1737,pinion,kleinrat,isonjwana legiya lesitimela,ivili elincinci likaloliwe,iphiniyoni,iphiniyoni,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1738,pink,pienk,umbala ophofu / umbala ophinki,ipinki,-bovana / hholomi,ubukhobe,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1739,pipe,pyp,ipayipi,umbhobho,liphayiphi,iphayiphu / itjhubhu,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1740,pipette,pipet,umtshumo wengilazi,umbhojana wamathontsi / umbhojana wokuthontsizisa,iphiphethi,iphiphethi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1741,piston,suier,iphistini,ipistini,iphistini,iphistini,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1742,pivot,spil,isihloko / iphivothi / iphayivothi,ijoyini ejikelezayo,iphivothi,iphivothi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1743,placenta,plasenta,umzanyana,umgcantsi,indlu yemntfwana / iplasenta,ingubo yomntwana,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1744,plague,plaag,ubhubhane / inhlava,ubhubhani,bhubhane,umabhubhisa,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1745,plane,vlak,isicaba,isityaba / imthebelele,indzawo lebekile,itatawu / icabazi,noun,surface,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1746,plane,skaaf / afvlak,-lolonga / -baza / -phala,ukugudisa / ukuchwela,lolonga / faka,baza,verb,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1747,plane,skaaf,umshini wokubaza,isigudisi / isichweli / ipleyini,sikafu,isibazo / isikafu,noun,tool,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1748,planet,planeet,umhlaba,iplanethi,situngeletalanga / iplanethi,iplanethi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1749,planing machine / planer,skaafmasjien,umshini ozilawulayo wokubaza,umatshini wokuchwela / umatshini wokugudisa,silolongi / umshini wekulolonga,isikafu,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1750,plank,plank,ipulangwe,iplanga,lipulango,ipulanka,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1751,plant,plant,isitshalo / isimila,isityalo,sitfombo / sitjalo,isitjalo,noun,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1752,plant,plant,-tshala,ukutyala,hlanyela / tjala,tjala,verb,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1753,plantation,plantasie,insimu,amasimi,umhhalo,isimu,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1754,plantation,plantasie,ihlathi elitshaliwe,ihlathi elityaliweyo,lihlatsi,ihlathi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1755,plant life,plantegroei / plantlewe,izitshalo / isimila,isityalo,imphilositjalo,iimila,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1756,plant material / plant matter,plantaardige materiaal / plantmateriaal,imvundiso,isichumisi,lokungavundza,isivundisi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1757,plant type,plantsoort,uhlobo lwesitshalo / uhlobo lwesimila,uhlobo lwesityalo,luhlobositjalo,umhlobo wesitjalo,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1758,plastic,plastiek,ucwazi,iplastiki,liplasitiki,iplastiki,noun,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1759,Plasticine / plasticine,Plasticine,okusabumba,udongwe lweplastiki,iplastisini,umdaka weplastisini,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1760,plastics,plastiekvervaardiging,ukwenziwa kocwazi,ukwenziwa kweplastiki,kwentiwa kweliplasitiki,ukukhiqiza iimplastiki,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1761,plate,plaat,ucwecwe / ipuleti,ipleyiti,lipuleti,ipuleyidi / ibhorodo,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1762,plating,platering,isemboza sensimbi,ulwaleko lwesinyithi,kuhuca ngensimbi,isembeso / iseleko / isirhubo,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1763,pliable,buigsaam,-gobekayo,bhetyebhetye / -gobeka lula,-gobekako,-bhecenyekako / -gobekako,adjective,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1764,pliers,tang,impintshisi / udlawu,isincothuli / iplayasi / itange,ingwenya / ludlawu,itanghi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1765,plough,ploeg,igeja lezinkabi,ikhuba / ipuluwa,likhuba,iplurhu,noun,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1766,plough,ploeg,-lima,ukulima,lima,lima,verb,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1767,plover / kiewiet,kiewiet,ititihhoye,igxiya,lititihhoye,isithimbili,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1768,plug,kontakprop,ipulaki / iplaki,iplagi / isiqhagamsheli sombane,ipulagi,iplaga,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1769,plumage,vere / pluimasie,amaqubu,iintsiba,tinsiba,iinsiba,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1770,plume,pluim,uphaphe,usiba,lusiba,iinsiba,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1771,plumule,pluimpie,isiluba / umjila / umnyakanyaka / inhlumo,ithupha,sicumsuka / iplumuli,umnyombo / iplumuyuli,,plants,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1772,plumule,donsie / donsveertjie,umnyombo,usityana,lusitjana,iplumuyuli / iinsitjana,,birds,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1773,plunger,suier,iphukutha,isityhali-lwelo,lokusamjikeni,isipompi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1774,plywood,laaghout,ipulangwe,iplayi,luhlobo lwelipulango / ipulayiwudi,igodo elimalarha,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1775,pneumatic,pneumaties,phathelene nomoya / sebenza ngomoya,esebenza ngomoya,lokusebenta ngemoya,-sebenzako ngomoya,adjective,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1776,pneumonia,longontsteking,uhlabo / inyumoniya,inyumoniya / ingqele egqithisileyo / ukukrala kwemiphunga,inyumoniya,inumoniya,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1777,pod,peul,umdumba / isimuma,umdumba,umdvumba,iqephe,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1778,poinsettia,poinsettia / karlienblom,iphosentshiya,iponseshiya,iphozenshiya,iponsetiya,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1779,pointed leaf,gepunte blaar,ihlamvu elicijile / iqabungamcijo,igqabi elitsolo,licembemcijo,ikari elinetlobo,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1780,pointer,wyser / naald,inkomba,isalathisi,inkhomba,ikomba,noun,of e.g. a compass or a scale,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1781,poison,gif,ubuthi / ushevu / uphoyizeni,ityhefu,shevu / butsi,itjhefu / isihlungu,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1782,poison gland,gifklier,indlala yesihlungu,idlala elinetyhefu,lidlala lebutsi / lidlala lashevu,idlala letjhefu,,"e.g. snakes, scorpions",,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1783,poisonous,giftig,-bulalayo / -nobuthi,enetyhefu / inobuhlungu,nashevu / nebutsi,-netjhefu / -nesihlungu,adjective,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1784,poisonous bait,giftige aas,isiyengo esinobuthi,isigcayiseli esinetyhefu,sitsiyi lesinashevu / sitsiyi lesinebutsi,isilulubezo esinetjhefu / isilulubezo esinesihlungu,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1785,poisonous gas,giftige gas / gifgas,umoya onobuthi,igesi enetyhefu,igesi lenebutsi / gesi lonashevu,irhasi enetjhefu,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1786,polar bear,ysbeer,ibhele elimhlophe lasenyakatho / ibhele elimhlophe lasempola,ibhere yencam yelizwe,libhele lenyakatfomhlaba,ibhele lepholi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1787,polar region,poolstreek,impola,ummandla ongasencamini yomhlaba / ummandla wencam yelizwe,iningizimumhlaba / sigodzi senyakatfomhlaba,isifunda esiyipholi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1788,pole,pool,icala likazibuthe,incam kamazibuthe / incam yemagnethi,lipoli,ipholi,,of a magnet,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1789,pole,paal,insika / isibonda / isigxobo,ipali / isibonda,lugodvo / lipholi / lipali,ipali / igodo,,stick,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1790,pollen,stuifmeel,impova / imungu,ipholeni / umungu,imphova / ipholeni,ipova / ipholeni,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1791,pollinate,bestuif,-qhola,ukuchumisa ngepholeni,vuvutela imphova,pova,verb,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1792,pollinated blossom,bestuifde blom,imbali eqholiwe,intyatyambo echunyisiweyo ngepholeni,imphova lebhahele,ithuthumbo elipoviweko,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1793,pollination,bestuiwing,ukuqholwa,uchumiso ngepholeni,kuvutfwisa ngemphova / kubhahelisa ngemphova,ipoviso,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1794,pollute,besoedel,-dunga / -ngcolisa / -nukubeza,ukungcolisa,nukubeta / ngcolisa,silaphaza,verb,environment,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1795,polluted,besoedel,-dungekile / -ngcolisekile / -nukubezekile,ongcolisekileyo,-nukubetile / -ngcolile,silaphaziweko,,"e.g. water, air",,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1796,pollution,besoedeling,ukudunga / ukungcolisa / ukunukubeza,ungcoliseko,kunukubeteka / kungcoliseka,ukusilaphaza,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1797,polyester resin,poliësterhars,inhlaka yepholiyesta,intlaka yeplastiki yepholiyesta,emanyela epholiyesta,ikghomu yepholiyesta,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1798,polymer,polimeer,ipholima,intlaka yeplastiki eyakhiwe ngeeathom eziphindanayo / ipholima / iiathom eziphindaphindanayo,ipholima,ipholima,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1799,polymerisation,polimerisering,ukwenzeka kwepholima,izakhi-athom eziphindaphindanayo,kwenta ipholima,ipholimo,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1800,polypropylene,polipropileen,ipholiphrophilini,iplastiki eyomeleleyo,ipholiphrophilini,ipholiphrophilini,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1801,polysaccharide,polisakkaried,oshukelana / ipholisakharayidi,ipholisakharayidi / izakhi-swekile eziphindaphindeneyo,ipholisakharadi,ipholisakharayidi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1802,polystyrene,polistireen,inhlakalucwazi / ipholistayirini,iplastiki egcina ubushushu / ipolitrini,ipholisterini,ipholistirini,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1803,polythene,politeen,isigcinabusha / ipholithini,iplastiki esongela ukutya / iplastiki ecekeceke / ipolithini,ipholithini,ipholithini,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1804,polyvinyl chloride / PVC,polivinielchloried / PVC,ipholivinili klorayidi,ipolivinili / iplastiki engqindilili yokusongela,ipholivini kloradi / i-PVC,itlorayidi yepholivinili,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1805,pond,dammetjie,ichibi,iqula,inkelebhe,idanyana,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1806,pool,swembad / swemgat,isiziba,ichibi / idama,sitiba / lidamu,idamu / ichibi,,,,,,,,,,,,
