id,eng,afr,tsn,nso,sot,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info
dsac_natural_sciences_and_technology_dictionary_sotho_2459,textile,tekstiel / tekstielstof,lesela,selogwa / lešela,lesela,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2460,texture,tekstuur,phopholego / kutlotshwaro,phopholego,boleng,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2461,thermal,warm lugstroom,mowa o o bothitho,tutela / borutho,setshwaramotjheso,noun,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2462,thermal,termies,-bothitho,tutetšago / ruthufatšago / ruthetšago,e tshwarang motjheso,adjective,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2463,thermal conductivity,warmtegeleidingsvermoë,phetisabothitho,tshepetšaborutho,sefitisamotjheso,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2464,thermal expansion,termiese uitsetting / warmte-uitsetting,kgogomogo bothitho,kokomošwa ke borutho,tsharollo ka motjheso,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2465,thermometer,termometer,tepathitho / themomitara,kelathemphereitšha / themometha,themometha,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2466,thermoplastics / thermoplastic,termoplastiek,polasetiki,themophlastiki / themoplastiki,polasetiki e qhibidihang / polasetiki e sa tjheng,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2467,thermostat,termostaat,selaolathemphereitšha,themostate,selaolamotjheso,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2468,thiamine,tiamien,thiamaene,thiyamine,thaemine,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2469,thin air,dun lug,mowatshesane,kelotlase ya oksitšene moyeng,moya o mosesane,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2470,thistle,distel,lesitlwane,mantlalekgeru / sejabakgekolo,hlabahlabane,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2471,thorn,doring,mmutlwa,mootlwa,moutlwa / tshehlo,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2472,thorn apple / stinkblaar,stinkblaar,mokhura / senkgane,motikinyane / mokolonyane,letjoi,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2473,thorn-tree,doringboom,setlhare sa mmutlwa,mohlare wa meetlwa,sefate sa leoka,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2474,thread,garing,tlhale,garane / tlhale,kgareng / tshwele,noun,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2475,threaten,dreig,tshosetsa,tšhošetša,tshosa / beha kotsing,verb,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2476,three-wire cord / three-wire electrical cord / three-cord wire,driedraadkoord / driedraad-elektriese koord,thapo ya mathaleraro,thapotharo ya mohlagase,terata ya kgwele tse tharo,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2477,three-dimensional,driedimensioneel,tlhakoretharo,ya hlakoretharo,e ntlhatharo,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2478,three-pin plug,driepuntprop,polakantlhatharo,plakantlhatharo / phlakantlhakatharo,polaka e ntlhatharo,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2479,three-wire cord / three-wire electrical cord / three-cord wire,driedraadkoord / driedraad- elektriese koord,thapo ya mathaleraro,thapotharo ya mohlagase,terata ya kgwele tse tharo,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2480,thunderstorm,donderstorm,matlakadibe,mamogašwa / matlakadibe,sefefo,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2481,tidal energy,getyenergie,maatlakhubu,enetšiphotowatle / maatlaphotowatle,matla a maqhubu a lewatle,,,,,,,,,,
