id,eng,afr,zul,xho,ssw,nbl,tsn,nso,sot,ven,tso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info
dsac_multilingual_mathematics_dictionary_r_to_6_326,equivalent fraction,ekwivalentbreuk / gelykwaardige breuk,iqhezu elilinganayo,amaqhezu alinganayo,tincetu letilinganako / tincetu letilinganisiwe,icezu elilinganako,palo-phatlotekani,palophatlotekano,sekoto se tshwanang le,tshipiḓa tsha ndingano,swiphemu swo yelana,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_327,error / mistake / fault,fout,iphutha,impazamo / imposiso,liphutsa / siphonjwa,iphutha / umtjhaphro,phoso,phošo,phoso,vhukhakhi,xihoxo,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_328,estimate,skat,hlawumbisela / linganisa,qikelela,combela / linganisa,linganisa,lekanyetsa,akanya / taetšokakanyo / pontšhokakanyo,lekanyetsa,u anganya,kumbetela,verb,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_329,estimation,skatting,ukuhlawumbisela / isilinganiso,intelekelelo / ingqikelelo,kulinganisa / kulinganisela,isilinganiso,tekanyetso / phopholetso,kakanyo,tekanyetso,u anganya / nyanganyelo,nkumbetelo,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_330,even,gelyk,lingana,ukulingana,-lingene,-linganako,lekalekana,lekana,lekanang,-linganya / -eḓana,ndzingano,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_331,evening,aand,ubusuku / kusihlwa,ngorhatya,kusihlwa / ntsambama,intambama,lotlatlana,mantšiboa,mantsiboya,madekwana,madyambu,,time of the night,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_332,even number,ewe getal,inombolo engeyona ugweje,amanani aphindeka ngezibini,inombolo lehlukaniseka ngakubili,inomboro-lingana,palomaleka,nomorotekano / palotekano / palokarolwa ka pedi,palo e arolehang ka pedi,nomboro dza ivini / khohwa nga mbili,nomboro yo avanyiseka hi 2,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_333,exact,eksak,ncamashi,ngqo / ngqalileyo,mbamba / cobo,-nembako,tota / kgo,nepagala,nepahetseng,-one,khotlo / kwatsi,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_334,exact number,eksakte getal,inombolo ewuncamashi,inani elililo / inani elithe ngqo / inani elingqalileyo,inombolo mbamba / inombolo cobo,inomboro enembako,palotota / palo-kgo,palonepagalo,palo e nepahetseng,nomboro yone,nomboro-khotlo,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_335,examine,ondersoek,hlolisisa,phonononga,hlola / hlolisisa,hlola,tlhatlhoba,lekodišiša / tsitsinkela,hlahloba,u linga / sedzulusa,kambisisa,,to inspect or study,,,,,,,,,,,,,,,,,,,,
