id,eng,afr,ven,tso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info
dsac_natural_sciences_and_technology_for_grade_4_to_6_751,electromagnet,elektromagneet,eḽekṱhromaginethe,maginete ya gezi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_752,electron,elektron,eḽekṱhroni,elekitironi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_753,electronic,elektronies,-tsha eḽekṱhroniki,xa gezi,adjective,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_754,electronic system,elektroniese stelsel,sisṱeme ya eḽekṱhroniki,sisiteme ya gezi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_755,electroplating,elektroplateerwerk / elektroplatering,eḽekṱhropuḽethini,mphutselo wa gezi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_756,electrostatic force,elektrostatiese krag,maanḓa a eḽekṱhrosṱatiki / nungo dza eḽekthronikifoso,matimba ya nkhuhlano wa gezi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_757,element,element,eḽemente,elemente,,chemistry,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_758,element,element,eḽemente,elemente,,electronics,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_759,elephant,olifant,nḓou,ndlopfu,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_760,ellipse,ellips,eḽipsi,xivumbeko xa xitandza,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_761,elliptical,ellipsvormig,eḽeptikhaḽa,xa xitandza,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_762,email / electronic mail,e-pos / elektroniese pos,imeiḽi,poso ya xitironiki / imeyili,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_763,embryo,embrio,embrio,xitumbulukwa,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_764,emergency stop button,noodbeheerknop,bathoni ya u imisa ya shishi,batheni ya xihatla / batheni ya xilamulela-mhangu,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_765,enamel,emalje,inameḽe,inamele,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_766,enamel paint,emaljeverf,pennde ya enameḽe,pende ya inamele,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_767,endangered animal,bedreigde spesie,phukha i songo tsireledzeaho,xiharhi xo pfumaleka / xiharhi xo kala,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_768,endosperm,endosperm,endosipeme,mbuva-mbewu,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_769,energy,energie,fulufulu,matimba,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_770,energy consumption,energieverbruik,ḽa fulufulu / vhuḽafulufulu,matirhisele ya matimba,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_771,energy food,energievoedsel,zwiḽiwa zwa fulufulu,swakudya swa matimba,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_772,energy source,energiebron,tsiko ya fulufulu,xipfeleta-matimba,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_773,energy transfer,energieoordrag,phirisafulufulu,mahundziselo ya matimba,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_774,engine,enjin,nzhini,njhini,,e.g. car,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_775,engine / railway engine,lokomotief,nzhini ya tshidimela,njhini ya xitimele / njhini,,trains,,,,,,ya xitimela
dsac_natural_sciences_and_technology_for_grade_4_to_6_776,engineer,ingenieur,muinzhiniara,muendla-tinjhini / muinjhiniyere,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_777,enrich,verryk,-pfumisa / -nyora,nonisa / fumisa,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_778,environment,omgewing,mupo,mbangu,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_779,environmental issue,omgewingskwessie,zwa mupo,mhaka ya mbangu,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_780,enzyme,ensiem,enzaimi,xihundzurisi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_781,Epsom salt / magnesium sulphate,Engelse sout / magnesiumsulfaat,magneziamu salfeithi,magineziyamu-salifeti,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_782,equal-arm balance,chemiese weegskaal,tshikalo ndingano,xikalo xa ndzinganiso,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_783,equilibrium,ewewig,ndinganyiso / ikhwiḽibriamu,ndzinganiso,,,,,,,,
