id,eng,afr,zul,xho,ssw,nbl,tsn,nso,sot,ven,tso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info
dsac_multilingual_ict_dictionary_54,information superhighway,inligtingsnelweg / supersnelweg,uhleloxhumano olusabalele / uhleloxhumano oluvulelekile,ucingolwekhompyutha olukhawulezayo,luhlelochumano lolusembili,ihlelothintano elidephileko / uthelalise wehlelothintano,tselafefogadi ya tshedimosetso,tshepedišobjako ya tshedimošo,motjhamoholo wa lesedi,nyendedzoṱhavhanyedza / nyendedzo ya tshihaḓu ya khomphyutha,vufambisamahungu-xitironiki,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_55,infrastructure,infrastruktuur,ingqalasizinda,izinxibelelanisi zeekhompyutha,sakhiwonchanti,umthangalasisekelo,mafaratlhatlha,lenaneokgoparara,moralo wa theknoloji / moralo wa motheo,themamveledziso ya vhuṱumanyi ya khomphyutha,switirhisiwa,,,,,,kwezokuxhumana,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_56,input,toevoer / inset,ulwazi olufakiwe,iinkcukacha ezifakiweyo,lufuntolwati,okufakwako / ifakelo,setsenngwa / tshedimosetsotsenngwa,tshedimošo ka khomphyutheng / tshedimošo ka khomphiutheng,lehlahlelo / phepelo,mafhungodzheniswa / zwiengedzwa,xinghenisiwa,noun,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_57,input,toevoer / invoer,-faka ulwazi,ukufaka iinkcukacha,funta lwati,faka / fakela,-tsenya tshedimosetso,tsenya tshedimošo khomphyutheng / tsenya tshedimošo khomphiutheng,hlahlela / fepela,-dzhenisa mafhungo / -engedza mafhungo,nghenisa,verb,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_58,install,installeer,-xhuma / -faka,ukufakela,faka,-faka,gokela / tsenya,beakanya / hloma,kgwesa / kenya,kwea,ku nghenisa,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_59,installation,installering / installasie,ukuxhuma / ukufaka,ufakelo,kufaka,ukufaka,kgokelo / tsenyo,go beakanya / go hloma,kgweso / ho kenya,u kwea / khweo,ngheniso,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_60,interactive,interaktief,uxhumanokwamukelana / uxhumanonanelwano,ezinxibelelanayo,luchumano lolundlelambili,kwethintanonikelwano,tshedimosetsano,kgokagano,tshebeletsano,fhindulana na,ntirhisano,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_61,Internet,Internet / internet,uhleloxhumano lomhlaba / i-intanethi,i-intanethi,i-inthanethi,ithungelelwanohlanganiso / i-inthanethi,Inthanete,inthanete,inthanete,inthanethe,inthanete,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_62,internet café / cyber café,internetkafee / kuberkafee / netkafee,ingosihwebo ngohleloxhumano,ikhefi yeintanethi,likhefi le-inthanethi,isitodlwana sethungelelwanohlanganiso,borekisetsointhanete,khefi ya inthanete,khefi ya inthanete,khefi ya inthanethe,khefi ya inthanete,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_63,intranet,intranet / binnenet,uhleloxhumano lwangaphakathi,uthungelwano ngaphakathi / i-intranethi,i-inthranethi,ithungelelwanohlanganiso langekhaya / i-inthranethi,interanete,inthranete,intranete,inthranethe,inthiranete,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_64,landline,landlyn,ucingo lwasendlini / ucingo lwamakhebuli,ucingo lonxibelelwano / ifowuni yasendlini,intsambo yekuchumana,umtato onzinzileko,mogalafatshe,motato wa ka ntlong / mogala wa ka ntlong,mohala wa fatshe,ḽaini ya luṱingo / ḽendiḽaini,rinqingho ra le ndlwini / riqingho ra le ndlwini,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_65,laptop,skootrekenaar,isiqoqelalwazi esiphathekayo / isiqoqelalwazi esingabekwa emathangeni / umathangeni,ikhompyutha ephathwayo,matsangeni,umtjhiningqondo ophathwako,khomphiuthafarwa / lepothopo,lepthopo,lepthopo,khomphyuthakhwalwa / ḽepithopho,xixingiwa,,,,,,,,,,,,,,,,,,,,,,
