id,eng,afr,zul,xho,ssw,nbl,tsn,nso,sot,ven,tso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info
dsac_life_orientation_terminology_term_list_27,Alcoholics Anonymous / AA,Alkoholiste Anoniem / AA,i-Alcoholics Anonymous / i-AA,iAlcoholics Anonymous / i-AA,Inhlangano Lesita Labagcilatwa Tjwala / I-AA,iHlangano eLumulisa abaPhila ngoTjwala / iHlangano yabaSebenzisa iinDaki / i-AA,Mokgatlhotwantshotagi,Mokgatlo wa Keletšo ka Dinotagi,Mokgatlo wa Twantsho ya Bokgoba ba Tahi / AA,Dzangano ḽa u thusa u litsha Zwikambi / AA,Nhlangano wo Lwisana na Xihoko,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_28,alcoholism,alkoholisme,ubundlamanzi / ubujikankezo / ubudakwa,ubunxila / ubundlamanzi,budzakwa,ubudakwa,botagwa,tirišompe ya bjala,bohlena,vhudakwa,vudakwa,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_29,alert,waaksaam / op en wakker / wakker,ukuqaphela,-the qwa / vundla / xhobisa,caphela / lemuka / vuka,-yelelako / -tjhejako,sejaro,-lala o laotšwe / -bolala o laotšwe,-fadimeha,fhaṱuwa,lemuka,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_30,allergy,allergie,isihlungu / isaliwo,isaliso / ialeji,kutondvwa / kwaliwa / i-aleji,ukwaliwa / i-aleji,tshwaetso,aletši,aleji,vhuila / aḽedzhi,aleji,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_31,altar,altaar,i-althari,isibingelelo / iolthara,lilati / i-alithari,i-althari,aletara,aletare,aletare,aḽeṱare,gandzelo / altari,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_32,amaNdebele,Ndebele,amaNdebele,amaNdebele,Emandebele,amaNdebele,Matebele,amaNdebele,Matebele,Mandevhele,Mandhevele,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_33,amaXhosa,Xhosa,amaXhosa,amaXhosa,Emachosa,amaXhosa,Mathosa,amaXhosa,Maqhotsa,Mathoza,Maqhoza,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_34,ambition,ambisie,ilukuluku / ukulangazelela,ulangazelelo / ibhongo / umnqweno,inshisakalo / lilukuluku,itjisakalo,keletsokgolo,phišegelo,tjheseho,lutamo,navelo / ntsakelo,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_35,ambulance,ambulans,isithuthiziguli / i-ambulensi,inqwelo yezigulane / iambulensi,sitfwalatigulane / i-ambulesi,i-ambulesi,emelense,ampulentshe,ambulense,ambulese / ambulentse,ambulense,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_36,Amnesty International,Amnestie Internasionaal,i-Amnesty International,iAmnesty International,Inhlangano Yashwele Yemhlabawonkhe,iHlangano yamaZwengamazwe yokuColelanisa,Boitshwarelo jwa Boditšhaba / Mokgatlhotshwarelo Boditšhaba,Tokollo ya Boditšhabatšhaba / Tshwarelo ya Boditšhabatšhaba,Mokgatlo wa Tshwarelano wa Matjhaba,Dzangano ḽa vhupfumedzani ḽa Dzitshakatshaka,Nhlangano wa Ndzivalelano wa Matiko ya Misava,,,,,,,,,,,,,,,,,,,,,,
