id,eng,nso,afr,eng_pos_or_descriptor,eng_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info
up_glossary_institutional_terminology_86,continued studies,dithuto tse di tswelago pele,voortgesette studie,,,,,,
up_glossary_institutional_terminology_87,continuing education,thuto ya go tswela pele,voortgesette onderrig,,,,,,
up_glossary_institutional_terminology_88,contractual agreement,tumelelano ya kontraka,kontraktuele ooreenkoms,,,,,,
up_glossary_institutional_terminology_89,Convocation,Mohlakano,Konvokasie,,,,,,
up_glossary_institutional_terminology_90,Corporate Wellness Programme,Lenaneo la Go phela gabotse ka Tirisano,Korporatiewe Gesondheidsprogram,,,,,,
up_glossary_institutional_terminology_91,co-supervisor,molekodimmogo,medepromotor of medestudieleier,,,,,vir doktorsgraad / vir magistergraad,
up_glossary_institutional_terminology_92,coursework,mosomothuto,gedoseer,,,,,,
up_glossary_institutional_terminology_93,coursework degree programme,lenaneo la tikrii la mosomothuto,gedoseerde graadprogram,,,,,,
up_glossary_institutional_terminology_94,cover letter,lengwalokakaretso,dekbrief,,,,,,
up_glossary_institutional_terminology_95,cover page,letlakalakakaretso,dekbladsy,,,,,,
up_glossary_institutional_terminology_96,credit changes,phetoso ya dikrediti,kredietveranderings,,,,,,
up_glossary_institutional_terminology_97,criteria,mekgwa,maatstawwe/kriteria,,,,,,
up_glossary_institutional_terminology_98,curriculum,kharikhulamo,leergang/kurrikulum,,,,,,
up_glossary_institutional_terminology_99,curriculum and instructional design and development,kharikhulamo le moakanyeto wa thutiso le tsweletopele,kurrikulum- en instruksionele ontwerp en ontwikkeling,,,,,,
up_glossary_institutional_terminology_100,curriculum mapping,go dira lenaneo la kharikhulamo,kurrikulum-kartering,,,,,,
up_glossary_institutional_terminology_101,Curriculum Transformation Conference,Khonferense ya Phetogo/Phetoso ya Lenaneothuto,Konferensie oor Kurrikulumtransformasie,at UP,,mo UP,,by UP,
up_glossary_institutional_terminology_102,curriculum vitae - curricula vitae,Lengwalophelo - mangwalophelo,curriculum vitae - curricula vitae,sing / pl,,botee,,ekv / mv,
up_glossary_institutional_terminology_103,CV,Lengwalophelo,CV,abbrev for curriculum vitae,,,,afk vir curriculum vitae,
up_glossary_institutional_terminology_104,'drastoel' race,mokato wa 'drastoel',drastoel-wedren,,,,,,
up_glossary_institutional_terminology_105,decision,sephetho,besluit,,,,,,
up_glossary_institutional_terminology_106,declaration,pego/boipolelo/taodiso,verklaring; aankondiging,,,,,,
up_glossary_institutional_terminology_107,Department of Integrated Plant and Soil Sciences,Kgoro ya Disaense tsa Dimela le Mabu tseo Di kopantswego,Departement Geintegreerde Plant- en Grondkunde,used to be Dept of Plant Science and Dept of Plant Production and Soil Science,,yeo eb ego e le Kgoro ya Tsweletso ya Dimela le Saense ya Mabu,,voorheen Dept Plantkunde en Dept Plantproduksie en Grondkunde,
up_glossary_institutional_terminology_108,Department of Museum and Arts Management,Kgoro ya Museamo le Taolo ya Bokgabo,Departement Museum- en Kunstebestuur,used to be UP Arts,,yeo e bego e le Bokgabo bja UP,,voorheen UP Kunste,
up_glossary_institutional_terminology_109,Department of Sport and Leisure Studies,Kgoro ya Dipapadi le Dithuto tsa Boiketlo,Departement Sport en Vryetydstudies,used to be Biokinetics; Sport,,yeo e bego e le Payokaenethiki; Dipapadi...,,voorheen Biokinetika; Sport ...,
up_glossary_institutional_terminology_110,deregister,go fedisa boingwadiso,'n registrasie kanselleer,,,,,,
up_glossary_institutional_terminology_111,DESA Access Control; Parking and Dispatch,Taolo ya Phihlelelo ya Kgoro ya Ngwadiso le Taolo ya Baithuti;; Bophako le Thomelo,DTSA Toegangsbeheer; Parkering en Versending,,,,,,
up_glossary_institutional_terminology_112,DESA General Enquiries Division,Karolo ya Dipotsiso tsa Kakareto tsa Kgoro ya Ngwadiso le Taolo ya Baithuti,DTSA Afdeling Algemene Navrae,,,,,,
up_glossary_institutional_terminology_113,DESA System-related Issues,Ditaba tseo di lebanego le mekgwa tsa Kgoro ya Ngwadiso le Taolo ya Baithuti,DTSA Stelselverwante Kwessies,,,,,,
up_glossary_institutional_terminology_114,designated equivalence-setting bodies,Tse di kgethilwego tsa go swana - go bea makgotla,aangewese ekwivalensie-bepalende liggame,,,,,,
up_glossary_institutional_terminology_115,DIA Evaluation Committee,Komiti ya Tekolo ya DIA,DIB-evaluasiekomitee,,,,,,
up_glossary_institutional_terminology_116,Director's Planning Forum,Foramo ya Peakanyo ya Balaodibagolo,Direkteur se Beplanningsforum,,,,,,
up_glossary_institutional_terminology_117,Disciplinary Committee,Komiti ya Kgalemo,Dissiplinekomitee,Students,,Baithuti,,Studente,
up_glossary_institutional_terminology_118,discontinue,go se sa tswelapele,beeindig,module XXX,,thutwana XXX,,module XXX,
up_glossary_institutional_terminology_119,discussion document,tokumente ya dipoledisano,agendadokument,,,,,,
up_glossary_institutional_terminology_120,dissertation,tesitheisene,verhandeling,master's,,ya mastase,,meestersgraad,
up_glossary_institutional_terminology_121,distance education,thuto ya kgole,afstandsonderrig,,,,,,
up_glossary_institutional_terminology_122,document author,mongwadi wa tokumente,dokumentouteur,,,,,,
up_glossary_institutional_terminology_123,document owner,mong wa tokumente,dokumenteienaar,,,,,,
up_glossary_institutional_terminology_124,Dr - Drs,Dr -Drs,dr - drs,abbrev for Doctor,Doctors,khutsofatso ya Ngaka,Dingaka,afk vir doktor,doktors/doktore
up_glossary_institutional_terminology_125,draping of hoods,peakanyo ya mengatse ya dialoga,omhang van bande,,,,,,
up_glossary_institutional_terminology_126,DVC - Deputy Vice-Chancellor,Motlata - Motlatsamokhanseliri,AVK - Adjunk-visekanselier,,,,,,
up_glossary_institutional_terminology_127,academic achiever,mokgoni wa thuto,uitnemende akademiese presteerden,,,,,,
up_glossary_institutional_terminology_128,Due Diligence,Tlhokomelo ye e setsego,Omsigtigheidsondersoek,,,,,,
up_glossary_institutional_terminology_129,EAP at UP,EAP at UP,EAP at UP,Employee Assistance Programme,,Lenaneo la Thuso ya Basomi,,Werknemershulpprogram,
up_glossary_institutional_terminology_130,Early Childhood Development,Tswelotsopele ya ka Pela ya Ngwana,Vroee Kinderontwikkeling,,,,,,
up_glossary_institutional_terminology_131,early childhood education,thuto ya ka pela ya ngwana,vroee kinderonderwys,,,,,,
up_glossary_institutional_terminology_132,Education,Thuto,Opvoedkunde,,,,,,
up_glossary_institutional_terminology_133,education,thuto,opvoeding,informal,,ya go se be ya semolao,,,
up_glossary_institutional_terminology_134,education,thuto,opvoedkunde,theory of,,teori ya,,,
up_glossary_institutional_terminology_135,education innovation,kaonafatso/mpshafatso/t3weletsopele/Tlhabollo ya thuto,onderriginnovasie,,,,,,
up_glossary_institutional_terminology_136,education management and policy studies,taolo ya thuto le dithuto tsa pholisi,onderwysbestuur en -beleidstudie,,,,,,
up_glossary_institutional_terminology_137,education professional,seithutedi sa thuto/setsebi sa thuto,professionele opvoedkundige,,,,,,
up_glossary_institutional_terminology_138,educational psychology,saekholoti ya thuto,opvoedkundige sielkunde,,,,,,
