id,eng,afr,nso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info
up_glossary_hatfield_campus_61,Natural Sciences 2,Natuurwetenskappe 2,,Hatfield,Computer Service Centre Electron Microscope (Agricultural Economics) Geology Information Technology Laboratory for Microscopy and Microanalysis Mechanical and Aeronautical Engineering,Hatfield,Rekenaardienssentrum Elektronmikroskoop (Landbou- ekonomie) Geologie Inligtingtegnologie Laboratorium vir Mikroskopie en Mikroanalise Meganiese en Lugvaartkundige Ingenieurswese,,"Senthara ya Ditirelo tsa
Dikhomphutha
Maekroskopo ya Elektrone
(Diekonomi tsa Temo)
Geologi
Tshedimoo ya Theknoloti
Laporotori ya Maekroskopi le
Tlhopollo/Phetleko/Tshekatshe
ko ye nyenyane
Boentsenere bja Semotshene
le Aeronathikale"
up_glossary_hatfield_campus_62,Nursery School,Kleuterskool,,Hatfield,Communication Pathology,Hatfield,Kommunikasiepatologie,,Phatholoti ya Kgokagano
up_glossary_hatfield_campus_63,Old Agriculture,Ou Landbou,,Hatfield,Consumer Sciences Food Science,Hatfield,Verbruikerswetenskappe Voedselwetenskap,,"Disaense tsa Bareki
Saense ya Dijo"
up_glossary_hatfield_campus_64,Old Arts,Ou Lettere,,Hatfield,UP Archives UP Arts UP Arts Observation Conservation Facility UP Museums,Hatfield,UP Argief UP Kunste UP Kunste Voorwerpbewarings- fasiliteit UP Museums,,"Bolotadingwalwa bja UP
Bokgabo bja UP
Senolofati sa Pabalelo ya
Temogo ya Bokgabo bja UP
Dimuseamo tsa UP"
up_glossary_hatfield_campus_65,Old Chemistry,Ou Chemie,,Hatfield,Blue Room Campus Kiosk Information Governance Project Language Unit Quality Unit Web Office,Hatfield,Blou Kamer Kampuskiosk Inligtingbestuursprojek Taaleenheid Kwaliteitseenheid Webkantoon,,"Phaposi ye Talalerata
Kiosk ya Khamphase
Protseke ya Taolo ya
Tshedimoo
Lekala la Dipolelo/Maleme
Lekala la Boleng
Ofisi ya Wepe"
up_glossary_hatfield_campus_66,Old Merensky,Ou Merensky,,Hatfield,Edoardo Villa Museum and Collection Mimi Coertse Collection Van Wouw Collection,Hatfield,Edoardo Villa-museum en -versameling Mimi Coertse-versameling Van Wouw-versameling,,"Museamo wa Edoardo Villa le
Kgobokanyo/ Kgoboketo
Kgobokanyo/Kgoboketso ya
Mimi Coertse
Kgobokanyo/Kgoboketso ya
Van Wouw"
up_glossary_hatfield_campus_67,Op't Hoek,Op't Hoek,,Hatfield,Student Affairs,Hatfield,Studentesake,,Merero ya Baithuti
up_glossary_hatfield_campus_68,'Ou Kantoortjie*,Ou Kantoortjie,,Hatfield,Student Affairs,Hatfield,Studentesake,,Merero ya Baithuti
up_glossary_hatfield_campus_69,Plant Sciences Complex,Plantwetenskappe- kompleks,,Hatfield,Plant Science,Hatfield,Plantkunde,,Saense ya Dimela
up_glossary_hatfield_campus_70,'Pophuis',Pophuis,,Hatfield,Student Affairs,Hatfield,Studentesake,,Merero ya Baithuti
up_glossary_hatfield_campus_71,Rautenbach Hall,Rautenbachsaal,,and Aula / Hatfield,Property Management: Theatres and Halls,"en
Aula / Hatfield",Eiendomsbestuur: Teaters en Sale,,"Taolo ya Thoto: Ditheetha le
Diholo"
up_glossary_hatfield_campus_72,Roper Street main entrance,Roperstraat- hoofingang,,Hatfield,Security Services,Hatfield,Veiligheidsdienste,,Ditirelo tsa Tshireletso
up_glossary_hatfield_campus_73,Stoneman,Stoneman,,Hatfield,Geology,Hatfield,Geologie,,Geologi
up_glossary_hatfield_campus_74,Student Affairs,Studentesake,,Hatfield,Head: Student Affairs Student Support,Hatfield,Hoof: Studentesake Studenteondersteuning,,"Hlogo: Merero ya Baithuti
Thekgo ya Baithuti"
up_glossary_hatfield_campus_75,Student Centre,Studentesentrum,,Hatfield,Student Development Xerox Coffee Buzz Bookmark Bookshop Fego Takeaway restaurants,Hatfield,Studenteontwikkeling Xerox Coffee Buzz Bookmark-boekwinkel Fego Wegneemrestaurante,,"Tweletsopele/Kaonafatso/Tlh
abollo ya Baithuti
Xerox
Coffee Buzz
Lebenkele la Dipuku la
Bookmark
Fego
Restorante ya go reka wa
sepela"
up_glossary_hatfield_campus_76,Student Health Services,Studentegesondheidsd ienste,,Hatfield,Student Health Services,Hatfield,Studentegesondheidsdienste,,"Ditirelo tsa Maphelo tsa
Baithuti"
up_glossary_hatfield_campus_77,Study Centre,Studiesentrum,,Hatfield,Merensky Library,Hatfield,Merenskybiblioteek,,Bokgobapuku bja Merensky
up_glossary_hatfield_campus_78,Technical Services,Tegniese Dienste,,Hatfield,"Facilities Management (Campus Services, Maintenance Management, Planning and Administration, Project Management) Genetics (bio-labs) Music (Music Therapy Unit) Printing Works School of Information Technology Sci-Enza (Discovery Centre and Exploratorium) Visual Arts",Hatfield,"Fasiliteitebestuur (Kampusdienste, Onderhoudsbestuur, Beplanning en Voorsiening, Projekbestuur) Genetika (biolaboratoriums) Musiek (Musiekterapie-eenheid) Drukkery Skool vir Inligtingtegnologie Sci-Enza (Ontdekkingsentrum en Eksploratorium) Visuele Kunste",,"Taolo ya Dinolofati (Ditirelo
tsa Khamphase, Taolo ya
Tlhokomelo, Peakanyo le
Taolo, Taolo ya Protseke)
Leabela (Dilaporotori tsa
payolotsi/thutaphedi)
Mmino (Lekala la Terapi ya
Mmino)
Moomo wa Kgatiso
Sekolo sa Theknoloti ya
Tshedimoso
Sci-Enza (Senthara ya
Khumano le Eksplorotoriamo)
Bokgabo bja Pono"
up_glossary_hatfield_campus_79,Theology,Teologie,,Hatfield,Biblical and Religious Studies Centre for Continuing Ministerial DevelopmentChurch History and Church Polity Curatorium of the Dutch Reformed Church Centre for Contextual Ministry Dogmatics and Christian Ethics Institute for Missiology and Ecumenical Research New Testament Studies Old Testament Studies Practical Theology Reformed Theological College Science of Religion and Missiology Theology: Dean's Office,Hatfield,Bybel- en Godsdienskunde Sentrum vin Voortgesette BedieningsontwikkelingKerkgeskiedenis en Kerkreg Kuratorium van die Nederduits Gereformeerde Kerk Sentrum vir Kontekstuele Bediening Dogmatiek en Christelike Etiek Instituut vir Sendingwetenskaplike Navorsing Nuwe-Testamentiese Wetenskap Ou-Testamentiese Wetenskap Praktiese Teologie Hervormde Teologiese Kollege Godsdiens- en Sendingwetenskap Teologie: Dekaanskantoon,,"Dithuto tsa Bibele le Bodumedi
Senthara ya
Tsweletsopele/Kaonafatso/Tlhabollo ya Boruti bjo bo
Tsweletswago
Histori ya Kereke le Mokgatlo
wa Kereke
Mokgatlo wa Kereke ye e
Mpshafaditswego ya Seholane
Senthara ya Boruti bja
Diteng/Tswalano
Boitshwaro bja Borapedi le
Sekriste
Institute ya Misiologi le
Dinyakisiso/Diphatisiso tsa
Ekhumenikhale
Dithuto tsa Testamente ye
Mpsha
Dithuto tsa Testamente ya
Kgale
Thutatumelo ya Tiriso
Kholetshe ye e
Mpshafaditwego ya
Thutatumelo
Saense ya Tumelo/Bodumedi
le Misiologi
Thutatumelo: Ofisi ya Hlogo ya
Lefapha"
up_glossary_hatfield_campus_80,Thuto,Thuto,,Hatfield,Lecture Hall Complex,Hatfield,Lesingsaalkompleks,,Meago ya Diphaposiborutelo
