id,eng,afr,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info
cput_termbank_data_240,Discharge planning,Ontslagbeplanning,,,,
cput_termbank_data_241,Disinfection,Ontsmetting,,,,
cput_termbank_data_242,Dislocation,Ontwrigting,,,,
cput_termbank_data_243,Distress,Angs,,,,
cput_termbank_data_244,Diurnal rhythm,Daaglikse ritme,,,,
cput_termbank_data_245,Duty of care,Versorging,,,,
cput_termbank_data_246,Dyslexia,Disleksie,,,,
cput_termbank_data_247,Dysphagia,Disfagie,,,,
cput_termbank_data_248,Dyspnoea,Dispnee,,,,
cput_termbank_data_249,Dysuria,Disurie,,,,
cput_termbank_data_250,Elective surgery,Elektiewe chirurgie,,,,
cput_termbank_data_251,Electrolyte,Elektroliet,,,,
cput_termbank_data_252,Empathy,Empatie,,,,
cput_termbank_data_253,Encopresis,Enkoprese,,,,
cput_termbank_data_254,Enema,Enema,,,,
cput_termbank_data_255,Enteral,Enteraal,,,,
cput_termbank_data_256,Epidemiology,Epidemiologie,,,,
cput_termbank_data_257,Epithelialization,Epitelisasie,,,,
cput_termbank_data_258,Ethics,Etiek,,,,
cput_termbank_data_259,Evidencebased practice,Bewysgegronde praktyk,,,,
cput_termbank_data_260,Exudate,Eksudaat,,,,
cput_termbank_data_261,Faecal incontinence,Fekale inkontinensie,,,,
cput_termbank_data_262,Family,Familie,,,,
cput_termbank_data_263,First aid,Eerstehulp,,,,
cput_termbank_data_264,Flatus,Flatus,,,,
cput_termbank_data_265,Flexibility,Buigbaarheid,,,,
cput_termbank_data_266,Fomite,Fomiet,,,,
cput_termbank_data_267,Fracture,Fraktuur Beenbreuk,,,,
cput_termbank_data_268,Frequency,Frekwensie,,,,
cput_termbank_data_269,Glasgow Coma Scale,Glasgow Komaskaal,,,,
cput_termbank_data_270,Granulation,Granulasie,,,,
cput_termbank_data_271,Grief,Verdriet,,,,
cput_termbank_data_272,Haematuria,Hematurie,,,,
cput_termbank_data_273,Harm reduction,Skadevermindering,,,,
cput_termbank_data_274,Hazards of immobility,Gevare van immobiliteit,,,,
cput_termbank_data_275,Health determinant,Gesondheidsbepaler,,,,
cput_termbank_data_276,Health education,Gesondheidsopvoeding,,,,
cput_termbank_data_277,Health promotion,Gesondheidsbevordering,,,,
cput_termbank_data_278,Healthcare,Gesondheidsorg,,,,
cput_termbank_data_279,Healthcare-associated infection,Gesondheidsorggeassosieerde,,,,
cput_termbank_data_280,Hierarchy of evidence,Hiërargie van bewyse,,,,
cput_termbank_data_281,Holistic,Holisties,,,,
cput_termbank_data_282,Holistic assessment,Holistiese evaluering,,,,
cput_termbank_data_283,Hospice,Hospitium,,,,
cput_termbank_data_284,Hypertension,Hipertensie,,,,
cput_termbank_data_285,Hypervolaemia,Hipervolemie,,,,
cput_termbank_data_286,Hypodermoclysis,Hipodermoklise,,,,
cput_termbank_data_287,Hypothermia,Hipotermie,,,,
cput_termbank_data_288,Hypovolemia,Hipovolemie,,,,
cput_termbank_data_289,Hypoxaemia,Hipoksemie,,,,
cput_termbank_data_290,Hypoxia,Hipoksie,,,,
cput_termbank_data_291,Immobility,Immobiliteit,,,,
cput_termbank_data_292,Akathisia,Akatisie motoriese rusteloosheid,,,,
cput_termbank_data_293,Amnesia,Amnesie,,,,
cput_termbank_data_294,Attitude,Houdingingesteldheid,,,,
cput_termbank_data_295,Concentration,Konsentrasie,,,,
cput_termbank_data_296,Delirium,Delirium,,,,
cput_termbank_data_297,Dementia,Demensie,,,,
cput_termbank_data_298,Derailment,Ontsporing,,,,
cput_termbank_data_299,Disorientation,Disoriëntasie,,,,
cput_termbank_data_300,Dissociation,Dissosiasie,,,,
cput_termbank_data_301,Illogical thinking,Onlogiese denke,,,,
cput_termbank_data_302,Incoherence,Onsamehangendheid,,,,
cput_termbank_data_303,Negativism,Negativisme,,,,
cput_termbank_data_304,Neologism,Neologisme,,,,
